Product.Name,Impact.category,Per.Amount,Result,Unit
"air passenger travel, domestic/AU U",Freshwater ecotoxicity,1.0 p*km,1.65E-04,"kg 1,4-DCB"
"air passenger travel, domestic/AU U",Freshwater eutrophication,1.0 p*km,5.10E-07,kg P eq
"air passenger travel, domestic/AU U",Global warming,1.0 p*km,0.173341904,kg CO2 eq
"air passenger travel, domestic/AU U",Land use,1.0 p*km,1.89E-04,m2a crop eq
"air passenger travel, domestic/AU U",Marine ecotoxicity,1.0 p*km,5.28E-04,"kg 1,4-DCB"
"air passenger travel, domestic/AU U",Marine eutrophication,1.0 p*km,6.93E-07,kg N eq
"air passenger travel, domestic/AU U","Ozone formation, Terrestrial ecosystems",1.0 p*km,7.52E-04,kg NOx eq
"air passenger travel, domestic/AU U",Terrestrial acidification,1.0 p*km,4.91E-04,kg SO2 eq
"air passenger travel, domestic/AU U",Terrestrial ecotoxicity,1.0 p*km,0.154493559,"kg 1,4-DCB"
"air passenger travel, domestic/AU U",Water consumption,1.0 p*km,0.005136268,m3
"air passenger travel, international/AU U",Freshwater ecotoxicity,1.0 p*km,1.67E-04,"kg 1,4-DCB"
"air passenger travel, international/AU U",Freshwater eutrophication,1.0 p*km,5.14E-07,kg P eq
"air passenger travel, international/AU U",Global warming,1.0 p*km,0.155041654,kg CO2 eq
"air passenger travel, international/AU U",Land use,1.0 p*km,1.74E-04,m2a crop eq
"air passenger travel, international/AU U",Marine ecotoxicity,1.0 p*km,4.92E-04,"kg 1,4-DCB"
"air passenger travel, international/AU U",Marine eutrophication,1.0 p*km,6.20E-07,kg N eq
"air passenger travel, international/AU U","Ozone formation, Terrestrial ecosystems",1.0 p*km,6.70E-04,kg NOx eq
"air passenger travel, international/AU U",Terrestrial acidification,1.0 p*km,4.37E-04,kg SO2 eq
"air passenger travel, international/AU U",Terrestrial ecotoxicity,1.0 p*km,0.12529147,"kg 1,4-DCB"
"air passenger travel, international/AU U",Water consumption,1.0 p*km,0.005555895,m3
"electricity, low voltage, Victoria/AU U",Freshwater ecotoxicity,1.0 kWh,0.007602852,"kg 1,4-DCB"
"electricity, low voltage, Victoria/AU U",Freshwater eutrophication,1.0 kWh,3.16E-05,kg P eq
"electricity, low voltage, Victoria/AU U",Global warming,1.0 kWh,1.00875918,kg CO2 eq
"electricity, low voltage, Victoria/AU U",Land use,1.0 kWh,2.25E-04,m2a crop eq
"electricity, low voltage, Victoria/AU U",Marine ecotoxicity,1.0 kWh,0.010871405,"kg 1,4-DCB"
"electricity, low voltage, Victoria/AU U",Marine eutrophication,1.0 kWh,5.41E-06,kg N eq
"electricity, low voltage, Victoria/AU U","Ozone formation, Terrestrial ecosystems",1.0 kWh,0.00115694,kg NOx eq
"electricity, low voltage, Victoria/AU U",Terrestrial acidification,1.0 kWh,5.05E-04,kg SO2 eq
"electricity, low voltage, Victoria/AU U",Terrestrial ecotoxicity,1.0 kWh,0.814447288,"kg 1,4-DCB"
"electricity, low voltage, Victoria/AU U",Water consumption,1.0 kWh,0.06562741,m3
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Freshwater ecotoxicity,1.0 MJ,9.03E-05,"kg 1,4-DCB"
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Freshwater eutrophication,1.0 MJ,2.91E-07,kg P eq
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Global warming,1.0 MJ,0.081893587,kg CO2 eq
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Land use,1.0 MJ,5.45E-05,m2a crop eq
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Marine ecotoxicity,1.0 MJ,1.57E-04,"kg 1,4-DCB"
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Marine eutrophication,1.0 MJ,1.75E-07,kg N eq
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER","Ozone formation, Terrestrial ecosystems",1.0 MJ,8.83E-05,kg NOx eq
