BFD_EXIOBASE_Name,basic_price_factor,EUR_AUD_coversion,inflation_2023_2019
Services auxiliary to financial intermediation (67),0.9637908419497784,0.6180943,0.8900236
Additives/Blending Components,0.7897673921017239,0.6180943,0.8900236
Air transport services (62),1,0.6180943,0.8900236
Aluminium and aluminium products,0.9596706504702194,0.6180943,0.8900236
Aluminium ores and concentrates,1,0.6180943,0.8900236
Animal products nec,0.8176456508764187,0.6180943,0.8900236
Anthracite,0.984979799426934,0.6180943,0.8900236
Aviation Gasoline,0.6036088350195332,0.6180943,0.8900236
BKB/Peat Briquettes,0.984979799426934,0.6180943,0.8900236
Basic iron and steel and of ferro-alloys and first products thereof,0.8854044405746625,0.6180943,0.8900236
Beverages,0.48150889429892313,0.6180943,0.8900236
Biodiesels,0.7897673921017239,0.6180943,0.8900236
Biogas,1,0.6180943,0.8900236
Biogasoline,0.7897673921017239,0.6180943,0.8900236
Bitumen,0.6036088350195332,0.6180943,0.8900236
Blast Furnace Gas,1,0.6180943,0.8900236
"Bricks, tiles and construction products, in baked clay",0.5786347211311862,0.6180943,0.8900236
Cattle,0.8981363326972465,0.6180943,0.8900236
"Cement, lime and plaster",0.9161309420575484,0.6180943,0.8900236
Ceramic goods,0.5786347211311862,0.6180943,0.8900236
Cereal grains nec,0.8981363326972465,0.6180943,0.8900236
Charcoal,0.7897673921017239,0.6180943,0.8900236
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",1,0.6180943,0.8900236
Chemicals nec,0.6676877471944122,0.6180943,0.8900236
Coal Tar,0.6036088350195332,0.6180943,0.8900236
Coke Oven Coke,0.6036088350195332,0.6180943,0.8900236
Coke oven gas,1,0.6180943,0.8900236
Coking Coal,0.984979799426934,0.6180943,0.8900236
"Collected and purified water, distribution services of water (41)",0.995275167785235,0.6180943,0.8900236
NA,0.9432346356887648,0.6180943,0.8900236
Construction work (45),0.9709304595595052,0.6180943,0.8900236
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.9709304595595052,0.6180943,0.8900236
Copper ores and concentrates,1,0.6180943,0.8900236
Copper products,0.9596706504702194,0.6180943,0.8900236
Crops nec,0.7524921056529422,0.6180943,0.8900236
"Crude petroleum and services related to crude oil extraction, excluding surveying",0.9775067837406096,0.6180943,0.8900236
Dairy products,0.6056373064782805,0.6180943,0.8900236
Distribution and trade services of electricity,1,0.6180943,0.8900236
Distribution services of gaseous fuels through mains,1,0.6180943,0.8900236
Electrical machinery and apparatus n.e.c. (31),0.8493760084069402,0.6180943,0.8900236
Electricity by Geothermal,0.4857899843316862,0.6180943,0.8900236
Electricity by biomass and waste,0.4857899843316862,0.6180943,0.8900236
Electricity by coal,0.4857899843316862,0.6180943,0.8900236
Electricity by gas,0.4857899843316862,0.6180943,0.8900236
Electricity by hydro,0.4857899843316862,0.6180943,0.8900236
Electricity by nuclear,0.4857899843316862,0.6180943,0.8900236
Electricity by petroleum and other oil derivatives,0.4857899843316862,0.6180943,0.8900236
Electricity by solar photovoltaic,0.4857899843316862,0.6180943,0.8900236
Electricity by solar thermal,0.4857899843316862,0.6180943,0.8900236
"Electricity by tide, wave, ocean",0.4857899843316862,0.6180943,0.8900236
Electricity by wind,0.4857899843316862,0.6180943,0.8900236
Electricity nec,0.4857899843316862,0.6180943,0.8900236
Ethane,0.6036088350195332,0.6180943,0.8900236
Extra-territorial organizations and bodies,0.999106279154553,0.6180943,0.8900236
"Fabricated metal products, except machinery and equipment (28)",0.8346261417134788,0.6180943,0.8900236
"Financial intermediation services, except insurance and pension funding services (65)",0.9999801257475848,0.6180943,0.8900236
Fish and other fishing products; services incidental of fishing (05),0.7937315285908123,0.6180943,0.8900236
Fish products,0.5924983762719204,0.6180943,0.8900236
Food waste for treatment: biogasification and land application,0.9563056872037916,0.6180943,0.8900236
