EF,Impact_Area,Modelling_Unit,Factor,Impact_Unit
"air passenger travel, domestic/AU U",Freshwater ecotoxicity,1.0 p*km,1.6471448390412434e-4,"kg 1,4-DCB"
"air passenger travel, domestic/AU U",Freshwater eutrophication,1.0 p*km,5.10447645519e-7,kg P eq
"air passenger travel, domestic/AU U",Global warming,1.0 p*km,0.17334190352070047,kg CO2 eq
"air passenger travel, domestic/AU U",Land use,1.0 p*km,1.8878120805761398e-4,m2a crop eq
"air passenger travel, domestic/AU U",Marine ecotoxicity,1.0 p*km,5.280179426954919e-4,"kg 1,4-DCB"
"air passenger travel, domestic/AU U",Marine eutrophication,1.0 p*km,6.929047635311595e-7,kg N eq
"air passenger travel, domestic/AU U","Ozone formation, Terrestrial ecosystems",1.0 p*km,7.517274075790855e-4,kg NOx eq
"air passenger travel, domestic/AU U",Terrestrial acidification,1.0 p*km,4.912787404099815e-4,kg SO2 eq
"air passenger travel, domestic/AU U",Terrestrial ecotoxicity,1.0 p*km,0.15449355853280114,"kg 1,4-DCB"
"air passenger travel, domestic/AU U",Water consumption,1.0 p*km,0.005136267996176936,m3
"air passenger travel, international/AU U",Freshwater ecotoxicity,1.0 p*km,1.6710935150590232e-4,"kg 1,4-DCB"
"air passenger travel, international/AU U",Freshwater eutrophication,1.0 p*km,5.13656578446e-7,kg P eq
"air passenger travel, international/AU U",Global warming,1.0 p*km,0.1550416540337489,kg CO2 eq
"air passenger travel, international/AU U",Land use,1.0 p*km,1.7402973942250003e-4,m2a crop eq
"air passenger travel, international/AU U",Marine ecotoxicity,1.0 p*km,4.922086659873646e-4,"kg 1,4-DCB"
"air passenger travel, international/AU U",Marine eutrophication,1.0 p*km,6.203829627925225e-7,kg N eq
"air passenger travel, international/AU U","Ozone formation, Terrestrial ecosystems",1.0 p*km,6.69501585040322e-4,kg NOx eq
"air passenger travel, international/AU U",Terrestrial acidification,1.0 p*km,4.3712413509739827e-4,kg SO2 eq
"air passenger travel, international/AU U",Terrestrial ecotoxicity,1.0 p*km,0.12529147040656222,"kg 1,4-DCB"
"air passenger travel, international/AU U",Water consumption,1.0 p*km,0.005555894686981526,m3
"electricity, low voltage, Victoria/AU U",Freshwater ecotoxicity,1.0 kWh,0.007602851919989697,"kg 1,4-DCB"
"electricity, low voltage, Victoria/AU U",Freshwater eutrophication,1.0 kWh,3.1590258868277e-5,kg P eq
"electricity, low voltage, Victoria/AU U",Global warming,1.0 kWh,1.0087591798919175,kg CO2 eq
"electricity, low voltage, Victoria/AU U",Land use,1.0 kWh,2.2452218215139998e-4,m2a crop eq
"electricity, low voltage, Victoria/AU U",Marine ecotoxicity,1.0 kWh,0.010871405106562796,"kg 1,4-DCB"
"electricity, low voltage, Victoria/AU U",Marine eutrophication,1.0 kWh,5.411020622932373e-6,kg N eq
"electricity, low voltage, Victoria/AU U","Ozone formation, Terrestrial ecosystems",1.0 kWh,0.0011569398447642142,kg NOx eq
"electricity, low voltage, Victoria/AU U",Terrestrial acidification,1.0 kWh,5.04580223857271e-4,kg SO2 eq
"electricity, low voltage, Victoria/AU U",Terrestrial ecotoxicity,1.0 kWh,0.8144472882877383,"kg 1,4-DCB"
"electricity, low voltage, Victoria/AU U",Water consumption,1.0 kWh,0.06562741048541514,m3
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Freshwater ecotoxicity,1.0 MJ,9.033513583411758e-5,"kg 1,4-DCB"
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Freshwater eutrophication,1.0 MJ,2.911022895464e-7,kg P eq
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Global warming,1.0 MJ,0.08189358665048539,kg CO2 eq
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Land use,1.0 MJ,5.4536266068639e-5,m2a crop eq
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Marine ecotoxicity,1.0 MJ,1.5698857935389032e-4,"kg 1,4-DCB"
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Marine eutrophication,1.0 MJ,1.7504481210739319e-7,kg N eq
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER","Ozone formation, Terrestrial ecosystems",1.0 MJ,8.82731078886598e-5,kg NOx eq
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Terrestrial acidification,1.0 MJ,6.13046193952847e-5,kg SO2 eq
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Terrestrial ecotoxicity,1.0 MJ,0.01572372777418654,"kg 1,4-DCB"
"heat, liquefied petroleum gas, at industrial furnace >100kW/MJ/RER",Water consumption,1.0 MJ,0.0025484174171159363,m3
"natural gas,combusted, Victoria NGA values /AU U",Freshwater ecotoxicity,1.0 MJ,8.229140032285309e-7,"kg 1,4-DCB"
"natural gas,combusted, Victoria NGA values /AU U",Freshwater eutrophication,1.0 MJ,2.543278969536e-9,kg P eq
"natural gas,combusted, Victoria NGA values /AU U",Global warming,1.0 MJ,0.0560566119214164,kg CO2 eq
"natural gas,combusted, Victoria NGA values /AU U",Land use,1.0 MJ,7.35786165557e-8,m2a crop eq
"natural gas,combusted, Victoria NGA values /AU U",Marine ecotoxicity,1.0 MJ,3.182288431496946e-6,"kg 1,4-DCB"
"natural gas,combusted, Victoria NGA values /AU U",Marine eutrophication,1.0 MJ,3.274604035915848e-10,kg N eq
"natural gas,combusted, Victoria NGA values /AU U","Ozone formation, Terrestrial ecosystems",1.0 MJ,1.4117783984963312e-4,kg NOx eq
"natural gas,combusted, Victoria NGA values /AU U",Terrestrial acidification,1.0 MJ,5.014869307092793e-5,kg SO2 eq
"natural gas,combusted, Victoria NGA values /AU U",Terrestrial ecotoxicity,1.0 MJ,0.0031668830302174346,"kg 1,4-DCB"
