ID,ID Used Y/N,Scope,CA ID,Emission Source,Energy Content Value,Energy Content Unit,Emission Factor Value,Emission Factor source,EF,Activity data UOM,"Emission fcator 
UOM"
1,yes,1,2202,Liquefied petroleum gas,25.7,GJ/kL,60.6,"Department of Climate Change, Energy, the Environment, and Water (2023), ""National Greenhouse Accounts Factors: 2023"", last updated 17 August 2023, https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2023",1557.42,kL,kg CO2-e/kL
2,yes,1,2320,Diesel oil post-2004,38.6,GJ/kL,70.41,"Department of Climate Change, Energy, the Environment, and Water (2023), ""National Greenhouse Accounts Factors: 2023"", last updated 17 August 2023, https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2023",2717.826,kL,kg CO2-e/kL
3,yes,1,2662,Petrol / Gasoline post-2004,34.2,GJ/kL,67.62,"Department of Climate Change, Energy, the Environment, and Water (2023), ""National Greenhouse Accounts Factors: 2023"", last updated 17 August 2023, https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2023",2312.604,kL,kg CO2-e/kL
4,yes,1,2737,Refrigerants,1,NA,1,Climate Active activity data calculator,1,kg CO2-e,kg CO2-e/kg CO2-e
5,yes,1,2841,Natural Gas VIC (metro) (GJ),1,NA,51.53,"Department of Climate Change, Energy, the Environment, and Water (2023), ""National Greenhouse Accounts Factors: 2023"", last updated 17 August 2023, https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2023",51.53,GJ,kg CO2-e/GJ
6,yes,1,2693,Battery electric vehicle (BEV): medium car (direct emissions),1,NA,0,"UK Department for Energy Security and Net Zero & Department for Business, Energy & Industrial Strategy (2023), ""Greenhouse gas reporting: conversion factors 2023"", last updated 28 June 2023, https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023",0,km,kg CO2-e/km
7,yes,2,2003,"Electricity (location-based method, scope 2)",1,NA,1,Climate Active electricity calculator,1,kg CO2-e,kg CO2-e/kg CO2-e
8,yes,2,2005,"Electricity (market-based method, scope 2)",1,NA,1,Climate Active electricity calculator,1,kg CO2-e,kg CO2-e/kg CO2-e
9,yes,3,2202,Liquefied petroleum gas (indirect emissions),25.7,GJ/kL,20.2,"Department of Climate Change, Energy, the Environment, and Water (2023), ""National Greenhouse Accounts Factors: 2023"", last updated 17 August 2023, https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2023",519.14,kL,kg CO2-e/kL
10,yes,3,2004,"Electricity (location-based method, scope 3)",1,NA,1,Climate Active electricity calculator,1,kg CO2-e,kg CO2-e/kg CO2-e
11,yes,3,2006,"Electricity (market-based method, scope 3)",1,NA,1,Climate Active electricity calculator,1,kg CO2-e,kg CO2-e/kg CO2-e
12,yes,3,2320,Diesel oil post-2004 (indirect emissions),38.6,GJ/kL,17.3,"Department of Climate Change, Energy, the Environment, and Water (2023), ""National Greenhouse Accounts Factors: 2023"", last updated 17 August 2023, https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-accounts-factors-2023",667.78,kL,kg CO2-e/kL
